search_id,user_id,session_id,timestamp,search_term,device_type,search_source,results_returned,search_results,search_time_taken,clicked_result,clicked_result_name,conversion
1,5554,507697,2025-01-29 03:34:23.421222,coffee mug,Desktop,Homepage,True,"['Ceramic Mug', 'Travel Mug', 'Insulated Mug']",0.77,False,,False
2,7188,563581,2025-01-10 20:35:16.421222,dresses,Mobile,Category Page,False,[],3.28,False,,False
3,8857,391121,2025-02-01 12:43:27.421222,phone case,Mobile,Homepage,True,"['OtterBox Defender', 'Spigen Tough Armor', 'Apple Silicone Case']",0.3,False,,False
4,1282,232523,2025-01-23 15:06:57.421222,smartphone,Mobile,Category Page,True,"['iPhone 15', 'Samsung Galaxy S24', 'Google Pixel 8']",2.64,False,,False
5,3466,370283,2025-01-13 06:10:53.421222,shoes,Tablet,Product Page,False,[],0.55,False,,False
6,7748,717240,2025-01-29 23:32:52.421222,socks,Tablet,Homepage,False,[],2.71,False,,False
7,8048,334462,2025-01-23 15:32:36.421222,smartphone,Tablet,Category Page,True,"['iPhone 15', 'Samsung Galaxy S24', 'Google Pixel 8']",0.46,True,Samsung Galaxy S24,False
8,4099,474340,2025-01-09 17:18:09.421222,external hard drive,Mobile,Category Page,True,"['Seagate 2TB', 'WD My Passport', 'Samsung T7']",1.93,True,Seagate 2TB,False
9,5547,167661,2025-01-26 04:41:58.421222,phone case,Desktop,Homepage,True,"['OtterBox Defender', 'Spigen Tough Armor', 'Apple Silicone Case']",1.5,False,,False
10,4878,193617,2025-01-15 04:34:29.421222,gaming chair,Mobile,Category Page,True,"['DXRacer', 'Secretlab Titan', 'Razer Iskur']",0.97,True,DXRacer,False
11,2631,251114,2025-01-08 06:21:48.421222,smartphone,Desktop,Category Page,True,"['iPhone 15', 'Samsung Galaxy S24', 'Google Pixel 8']",0.42,True,Google Pixel 8,True
12,4446,853469,2025-01-14 14:46:05.421222,headphones,Mobile,Homepage,True,"['Sony WH-1000XM5', 'Bose 700', 'Sennheiser Momentum 4']",3.12,True,Bose 700,False
13,7325,601113,2025-01-10 06:07:05.421222,gaming chair,Mobile,Product Page,True,"['DXRacer', 'Secretlab Titan', 'Razer Iskur']",0.66,True,DXRacer,False
